"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"ESPR","Esperion Therapeutics, Inc.","100.4","$2.25B","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/espr"
"ESSA","ESSA Bancorp, Inc.","12.93","$147.85M","n/a","Finance","Banks","http://www.nasdaq.com/symbol/essa"
"ESSX","Essex Rental Corporation","1.22","$30.42M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/essx"
"ETSY","Etsy, Inc.","21.75","$2.41B","2015","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/etsy"
"CLWT","Euro Tech Holdings Company Limited","2.91","$6.49M","1997","Consumer Durables","Diversified Electronic Products","http://www.nasdaq.com/symbol/clwt"
"EEFT","Euronet Worldwide, Inc.","58.36","$3.03B","1997","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/eeft"
"ESEA","Euroseas Ltd.","0.73","$41.69M","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/esea"
"EVEP","EV Energy Partners, L.P.","17.58","$858.09M","2006","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/evep"
"EVK","Ever-Glory International Group, Inc.","5.95","$87.97M","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/evk"
"EVLV","EVINE Live Inc.","5.95","$336.54M","n/a","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/evlv"
"EVOK","Evoke Pharma, Inc.","6.21","$38.11M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/evok"
"EVOL","Evolving Systems, Inc.","9.45","$110.25M","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/evol"
"EXA","Exa Corporation","11.1","$160.27M","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/exa"
"EXAS","EXACT Sciences Corporation","22.02","$1.95B","2001","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/exas"
"EXAC","Exactech, Inc.","21.95","$305.95M","1996","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/exac"
"EXEL","Exelixis, Inc.","2.83","$554.46M","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/exel"
"EXFO","EXFO Inc","3.36","$74.66M","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/exfo"
"EXLS","ExlService Holdings, Inc.","34.39","$1.14B","2006","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/exls"
"EXPE","Expedia, Inc.","101.69","$12.89B","n/a","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/expe"
"EXPD","Expeditors International of Washington, Inc.","46.45","$8.91B","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/expd"
"EXPO","Exponent, Inc.","88.33","$1.15B","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/expo"
"ESRX","Express Scripts Holding Company","86.52","$63.1B","1992","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/esrx"
"EXLP","Exterran Partners, L.P.","26.44","$1.58B","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/exlp"
"EXTR","Extreme Networks, Inc.","2.54","$252.29M","1999","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/extr"
"EZCH","EZchip Semiconductor Limited","19.5","$584.09M","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/ezch"
"EZPW","EZCORP, Inc.","8.41","$435.9M","1991","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/ezpw"
"FFIV","F5 Networks, Inc.","123.37","$8.9B","1999","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/ffiv"
"FB","Facebook, Inc.","78.99","$221.82B","2012","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/fb"
"FCS","Fairchild Semiconductor International, Inc.","18.95","$2.21B","1999","Technology","Semiconductors","http://www.nasdaq.com/symbol/fcs"
"FRP","FairPoint Communications, Inc.","20.13","$540.79M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/frp"
"FWM","Fairway Group Holdings Corp.","4.95","$215.76M","2013","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/fwm"
"FALC","FalconStor Software, Inc.","1.51","$61.92M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/falc"
"DAVE","Famous Dave&#39;s of America, Inc.","28.79","$202.94M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/dave"
"FARM","Farmer Brothers Company","25.01","$414.96M","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/farm"
"FFKT","Farmers Capital Bank Corporation","23.6","$176.77M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffkt"
"FMNB","Farmers National Banc Corp.","8.26","$152.06M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fmnb"
"FARO","FARO Technologies, Inc.","40.51","$704.08M","1997","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/faro"
"FAST","Fastenal Company","42.84","$12.59B","1987","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/fast"
"FATE","Fate Therapeutics, Inc.","4.79","$98.85M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/fate"
"FBSS","Fauquier Bankshares, Inc.","16.875","$63.19M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fbss"
"FBRC","FBR & Co","21.09","$159.89M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/fbrc"
"FDML","Federal-Mogul Holdings Corporation","12.35","$2.09B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/fdml"
"FNHC","Federated National Holding Company","25.6","$362.37M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/fnhc"
"FEIC","FEI Company","75.93","$3.18B","1995","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/feic"
"FHCO","Female Health Company (The)","2.96","$85.29M","n/a","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/fhco"
"FCSC","Fibrocell Science Inc","3.46","$141.36M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fcsc"
"FGEN","FibroGen, Inc","23.77","$1.41B","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fgen"
